year,price_yoy_pct_change,volume_yoy_pct_change,1yr_u_rate_pct_diff,1yr_sentiment_pct_change,1yr_gdp_pct_change,economy_label,action
1953,4.972608939067806,5.171929151640983,-2.2390494249238433,-2.4748646558391374,6.189877102033248,Average Economy,buy
1954,18.549471535940395,76.50402469966824,97.39745234646978,-0.11895321173670537,-1.7819250203068182,Bad Economy,buy
1955,55.60680680799834,74.41694609721138,-21.37572882020751,16.990869392616116,6.170198707152275,Good Economy,buy
1956,32.8150127177361,-13.784416396997244,-5.064776225886718,1.2215812690872019,3.2169536928957188,Good Economy,sell
1957,-1.3803153696454884,1.1274955590651856,4.334826994710717,-11.196781763325504,3.0497555743857596,Average Economy,sell
1958,-0.04288438982364442,43.251306852828804,61.115739595394935,-5.549263873159704,-2.8722901975747894,Bad Economy,buy
1959,34.489137908032895,47.4200635433959,-19.438154231559928,13.369304556354923,7.415106238167812,Good Economy,sell
1960,3.9922731756020586,-11.964049951157943,2.058739565448552,0.63458487572714,4.92379619042107,Average Economy,buy
1961,16.311319645941246,40.14080938698773,22.039518606237507,-1.1297950604309048,-0.6675232238545603,Bad Economy,sell
1962,4.783025191833743,9.783433155129359,-16.566826457562374,1.4881743289928195,7.569160858836588,Average Economy,hold
1963,5.29873626921408,27.248781212762225,1.3931341982612422,-0.2618486514794349,3.601109802250946,Average Economy,buy
1964,28.12144295308054,26.84949154382509,-8.545423991268477,4.62063533735888,6.217339646105979,Good Economy,buy
1965,15.781488372760878,27.782502702833987,-12.659634349089849,3.8143036386449225,5.478300000024183,Good Economy,sell
1966,-0.17801412073765366,54.423556240659785,-15.564550639477384,-9.306260575296122,8.477019498128314,Average Economy,sell
1967,2.6337559579504397,41.822024414929025,1.3926350439508315,1.2526652452025555,2.925069232407873,Average Economy,buy
1968,16.57344932630374,62.75145750665157,-7.339743589743584,-1.63200842326926,3.8448152772550426,Average Economy,sell
1969,3.86495718677091,7.219019036097815,-1.6448513971733754,-4.789938453304798,4.469434131486105,Average Economy,sell
1970,-17.88705758815861,-2.489990810526637,42.51173442349913,-14.69926925238898,0.3227914619529093,Bad Economy,buy
1971,12.778568299716364,45.32278239820038,21.328054026160164,6.227347611202627,2.697158764619889,Good Economy,buy
1972,19.1488692662149,22.440108464935726,-5.852713982917778,13.92679900744418,3.4725060662768703,Good Economy,hold
1973,5.325646516166059,10.475875122295374,-13.168758241267914,-16.308194936019614,7.561184799549903,Average Economy,sell
1974,-25.53038561949845,-6.12065621730565,16.283822587005815,-16.13532856213402,0.6389984128199799,Bad Economy,sell
1975,-10.50823546995322,28.82993498152006,52.192753088399485,9.270752521334359,-2.2997714710448536,Bad Economy,buy
1976,31.046184189253047,30.27079298112301,-9.012827212143195,22.328718494852694,6.154303273356643,Good Economy,sell
1977,4.083682459650412,18.818806903260842,-8.411197601737241,1.7701683110852962,3.2268394403294653,Average Economy,sell
1978,-5.397163509046802,46.01358723952515,-13.83924482599439,-9.428761524569907,4.1141118093148465,Average Economy,hold
1979,9.609069503670057,43.60346712612093,-3.471727993927787,-16.853814671004308,6.510448393675339,Average Economy,buy
1980,18.43480459561255,54.54173690486679,22.735013368703267,-2.4359459800580407,1.420553641544986,Average Economy,buy
1981,18.326631504259908,27.253957119494785,6.7333973235002995,9.715394566623537,1.6000011986558205,Good Economy,sell
1982,-8.352922382091837,38.79701439674768,27.443476168465263,-3.820304209409253,-2.190515056799669,Bad Economy,buy
1983,36.7984404297786,78.97871514468115,-0.110136439613494,28.55216378570551,1.4314731652409485,Good Economy,buy
1984,13.503616281604904,15.153426308191941,-21.456090749151087,11.548731642189614,8.578045114732769,Good Economy,buy
1985,16.34916853286495,30.249530738704983,-4.133513255944762,-4.419936735915197,4.5548222635726665,Average Economy,buy
1986,35.961138946058895,47.98958086835391,-2.653639348121307,1.744186046511631,4.146107165729074,Good Economy,buy
1987,35.56903782564604,56.50689640045617,-11.774559353556212,-4.378021978021984,2.7115848244058993,Good Economy,sell
1988,-0.19825915668642982,5.371630152939642,-10.955335700092341,3.4108669669945746,4.241257896544837,Average Economy,buy
1989,20.54945923525549,-4.887688938599174,-4.149240151391758,-1.040184921763876,4.3151632099998505,Average Economy,buy
1990,16.283653842786578,3.3500616222631177,6.7696832052178015,-12.011499416045279,2.821006526483294,Average Economy,hold
1991,9.006501957404037,16.16220381958363,22.284888996038564,-4.982642434143347,-0.9501973946258402,Bad Economy,buy
1992,20.479783198473314,26.50245463513268,9.461535060659797,-0.3868471953578312,2.858936912248855,Average Economy,buy
1993,12.740844558953334,43.03275501695385,-7.744099218504413,7.17367853290185,3.3199058070509935,Good Economy,hold
1994,6.157861635831902,30.19180144351835,-11.75968139719052,11.444388525415183,3.430706936043171,Good Economy,buy
1995,17.895991686011712,27.233448117260462,-8.001767305514575,-0.02709537572253007,3.481405627292,Average Economy,buy
1996,37.67829350226698,33.91039322939204,-3.239755206255509,1.4816153220706507,2.6013098466592277,Good Economy,buy
1997,40.72037529636773,40.685647364252006,-8.609084963829691,10.264399537078228,4.314068944306992,Good Economy,buy
1998,42.76204054329685,65.1612811465379,-8.814465642593811,1.3563700952688773,4.855526883310857,Good Economy,buy
1999,31.019420808983902,42.14653955667371,-6.258542096886225,1.1550103552652402,4.816336792733988,Good Economy,buy
2000,19.135461931121668,38.05657213927734,-5.890003163471687,1.6536735175998185,4.224744861233032,Good Economy,sell
2001,-14.298413208149169,37.37099127037162,19.710228706538082,-17.042373537841815,2.1975051856706784,Bad Economy,sell
2002,-25.211359091924624,31.366107388530224,23.195564332187885,0.38285554206740624,1.3372586567694578,Bad Economy,sell
2003,-11.801721521827627,9.59779295116336,3.646652550917525,-2.1860465116279038,1.6792570124718242,Average Economy,buy
2004,25.951101382277606,1.7996128962123559,-7.434373603518435,8.644793152639085,4.341952085996703,Good Economy,buy
2005,11.525234197028105,41.880752551890474,-8.269555484845865,-6.985294117647067,3.9088432572524257,Average Economy,buy
2006,12.523311492129448,57.085659696067886,-9.312689242766934,-1.4022209674383501,3.2131067957182013,Average Economy,buy
2007,17.576463474204626,48.60331145062601,0.3209992696001002,-1.9757564188221943,1.5767249700146868,Average Economy,sell
2008,-12.852195592971622,89.68897627216057,25.320837888599225,-25.511197663096397,1.3924712055185307,Bad Economy,sell
2009,-32.20255768287533,49.21844388280337,61.38080328692062,3.934640522875821,-3.234227293078318,Bad Economy,buy
2010,23.37357694290614,-17.088730110171593,4.1962680362776466,8.426613004653504,1.7452658449103264,Good Economy,buy
2011,16.30995089279805,-13.063561054392482,-6.994249261752596,-6.252174921702814,2.037797199613345,Average Economy,buy
2012,11.310468371930169,0.30216824443925405,-9.603065210110358,13.647611977233343,2.6380693108862374,Good Economy,buy
2013,27.786903467888408,-14.519956917228567,-8.901751901785376,3.4839412084920918,1.700868485709428,Good Economy,buy
2014,28.76696839042879,-0.18801712867144096,-16.319708183545444,6.207259337190951,1.6508175559380112,Good Economy,buy
2015,14.050447999798962,15.648873496701249,-14.243296053597659,10.48043585933629,3.9692994988184793,Good Economy,sell
2016,2.45122405256956,17.89525733413535,-7.41261876899667,-1.183538061508127,1.7950168913805964,Average Economy,buy
